track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min;
6Nuzq0dw2uEqDBZBFQbuFs,Parachute,1,25,False,Intellios,17,1310,,2Ya8OcgtO0hVwvyCuZT7Ey,Parachute,2024-12-06,1,single,1.99
6TSJjHRZrIKw3pAHbvdJXL,Outside,1,37,False,ILURO,41,8658,,04W2bHYzAWnqOY1gqPy7Vj,Outside,2024-11-29,1,single,2.84
29iBq2XErmuCwpsCXb7la3,Loveline,1,9,False,BYOR,60,38969,,2umhFc7iIdqWRmPGN4aGXC,Loveline,2024-11-15,1,single,2.25
1SzxeLmEx1tr9EcPoCzT9d,Safe,1,48,False,MarchY,37,794,,6GHHtTcj8oD373Sh07AqGJ,Safe,2024-11-14,1,single,2.7
2MBD7dFetiSCm8CopK8v9t,GODS,1,40,False,Ericovich,41,11036,nightcore,3W5cbW5fz2DR8OEURYzLWa,GODS,2024-10-25,1,single,2.01
5vNRhkKd0yEAg8suGBpjeY,APT.,1,88,False,ROSÉ,78,13320396,k-pop,2IYQwwgxgOIn7t3iF6ufFD,APT.,2024-10-18,1,single,2.83
2CspwnypzT7rcWI9RfsoSb,Mantra,1,73,True,JENNIE,81,12337033,k-pop,3e5tDT1kfaAGx10yOjIDgW,Mantra,2024-10-10,1,single,2.27
3X1nyZBKJTRkWafIPrcbJ1,Villain,1,46,False,RIELL,52,78423,,1TAyyzj4O6sXf4VyYj5lHV,Villain,2024-09-27,1,single,2.52
5lj4Sf3g1axG8mIoHeuKxR,Roses,12,23,False,Jesse®,43,301512,,4Kd7ghDh5uUwfUCldPS6eN,Wanted?,2024-09-20,12,album,4.58
7BfQEykWQ3sPmg3lTKEJOE,Sorry,10,28,False,Jesse®,43,301496,,4Kd7ghDh5uUwfUCldPS6eN,Wanted?,2024-09-20,12,album,3.97
2rYllInztQMtHyuVFUyci5,Wanted?,5,39,False,Jesse®,43,301499,,4Kd7ghDh5uUwfUCldPS6eN,Wanted?,2024-09-20,12,album,3.86
2ogRXUQqH0yO4Kq6Qy8oui,Órale,9,26,True,Jesse®,43,301532,,4Kd7ghDh5uUwfUCldPS6eN,Wanted?,2024-09-20,12,album,2.89
21rJwhXiZqOoOREguIIZrV,Ghost,1,24,False,Gulmee,36,992,hypertechno,6Eq4GOU0zctTXC5ikQo8f8,Ghost,2024-09-06,1,single,2.13
3SUlw7sPD01NdIEX2NwUtk,2am,1,40,False,RIELL,52,78423,,30IZYGhMRiTQP4AtepZ7HA,2am,2024-08-09,4,single,2.58
0u6LpMA9z4ZY3PKRXQfrxP,insane,1,29,True,GOVAN,34,1434,,2Cv6ivAxmqIosEY87fZAwn,insane,2024-08-08,1,single,1.94
53BpTC3cYgRfUVxqbNVb8w,Rip,1,51,False,Zummer,47,1186,,1Ztkwr612EUcviWuWnlWcE,Rip,2024-08-08,1,single,2.09
